,Review,Language,Translated
10,"Ich habe kürzlich die SanDisk Ultra microSDXC UHS-I Speicherkarte mit 128 GB bei Amazon gekauft, um sie als Speichererweiterung für meine DJI Drohne zu verwenden. Nach einigen Wochen intensiver Nutzung möchte ich meine Erfahrungen teilen und diese Speicherkarte unbedingt weiterempfehlen.Geschwindigkeit und Leistung:Die SanDisk Ultra microSDXC Karte hat mich mit ihrer Geschwindigkeit und Leistung beeindruckt. Die Karte erreicht UHS-I Geschwindigkeitsklassen von bis zu 120 MB/s, was für das Aufzeichnen von hochauflösenden Videos und das schnelle Übertragen von Daten auf meinem Drohnen-Setup mehr als ausreichend ist. Die flüssige Wiedergabe von 4K-Videos und die schnelle Zugriffszeit sind bemerkenswert.Kapazität:Die 128 GB Kapazität bietet mir genügend Speicherplatz für stundenlange Videoaufnahmen und zahlreiche hochauflösende Fotos. Ich muss mir keine Sorgen machen, dass der Speicherplatz während eines Drohnenfluges ausgeht.Zuverlässigkeit:Bisher habe ich keine Probleme mit Datenverlust oder Kartenfehlern gehabt. Die SanDisk Ultra microSDXC UHS-I Karte scheint sehr zuverlässig zu sein, was für mich als Drohnenpilot besonders wichtig ist. Ich kann mich darauf verlassen, dass meine wertvollen Aufnahmen sicher gespeichert werden.Kompatibilität:Die Karte ist problemlos mit meiner DJI Drohne kompatibel und funktioniert einwandfrei. Der Einbau der Speicherkarte war unkompliziert, und die Drohne hat sie sofort erkannt.Preis-Leistungs-Verhältnis:Das Preis-Leistungs-Verhältnis dieser SanDisk Ultra microSDXC Karte ist ausgezeichnet. Sie bietet viel Speicherplatz, schnelle Übertragungsgeschwindigkeiten und hohe Zuverlässigkeit zu einem fairen Preis. Bei Amazon habe ich sie zu einem attraktiven Preis erworben.Insgesamt bin ich äußerst zufrieden mit der SanDisk Ultra microSDXC UHS-I Speicherkarte 128 GB und kann sie definitiv für DJI Drohnenbesitzer empfehlen. Die Karte bietet hervorragende Leistung, ausreichend Speicherplatz und ein gutes Preis-Leistungs-Verhältnis, was sie zu einer idealen Wahl für Drohnenpiloten macht.",de,"I recently purchased the SanDisk Ultra microSDXC UHS-I 128GB memory card from Amazon to use as a memory expansion for my DJI drone. After a few weeks of intensive use, I would like to share my experience and definitely recommend this memory card.Speed and performance:The SanDisk Ultra microSDXC card impressed me with its speed and performance. The card achieves UHS-I speed ratings of up to 120 MB/s, which is more than sufficient for recording high-definition video and quickly transferring data on my drone setup. The smooth playback of 4K videos and fast access time are remarkable.Capacity:The 128GB capacity gives me enough storage for hours of video recording and numerous high-resolution photos. I don't have to worry about running out of storage space during a drone flight.Reliability:So far, I haven't had any problems with data loss or card errors. The SanDisk Ultra microSDXC UHS-I card seems to be very reliable, which is especially important for me as a drone pilot. I can rely on my precious recordings being stored safely.Compatibility:The card is compatible with my DJI drone without any problems and works flawlessly. Installing the memory card was straightforward and the drone recognised it immediately.Value for money:The value for money of this SanDisk Ultra microSDXC card is excellent. It offers plenty of storage space, fast transfer speeds and high reliability at a fair price. I purchased it from Amazon at an attractive price.Overall, I am extremely satisfied with the SanDisk Ultra microSDXC UHS-I memory card 128 GB and can definitely recommend it for DJI drone owners. The card offers excellent performance, sufficient storage space and good value for money, making it an ideal choice for drone pilots."
11,"Seit Anfang Dezember 2021 habe ich mehrere dieser SD-Karten im Dauereinsatz in Überwachungskameras, draußen halbwegs gut geschützt im Kamaragehäuse im Winter bei -10 Grad und im Sommer bei +30 Grad.Bislang keine Aussetzer. Somit kann ich SanDisk und insbesondere diese microSDXC Class 10 Karte zum Kauf empfehlen.  Viel Spaß damit!",de,"Since the beginning of December 2021, I have had several of these SD cards in continuous use in surveillance cameras, outside reasonably well protected in the camera housing in winter at -10 degrees and in summer at +30 degrees.So far no dropouts. So I can recommend SanDisk and especially this microSDXC Class 10 card.  Have fun with it!"
12,"Die SanDisk Ultra microSDXC UHS-I Speicherkarte bietet viel Speicherplatz für meine Fotos, Videos und Musik. Die Übertragungsgeschwindigkeit ist schnell und ich hatte keine Probleme mit der Leistung. Die Karte ist auch sehr robust und hält den täglichen Gebrauch stand. Insgesamt bin ich sehr zufrieden mit meinem Kauf und empfehle diese Speicherkarte jedem, der viel Speicherplatz benötigt.",de,"The SanDisk Ultra microSDXC UHS-I memory card offers plenty of storage for my photos, videos and music. The transfer speed is fast and I had no problems with the performance. The card is also very robust and stands up to daily use. Overall, I am very happy with my purchase and recommend this memory card to anyone who needs a lot of storage space."
13,"Heute sind 32GB nicht mehr viel, aber für den Betrieb von z.B. Wildkameras unabdinglich, hier sehr billig.Die meißten Geräte erwarten aber, dass irgendwas drin ist.Mit 32GB kommt man schon ein stückweit mit Video- und Filmaufnahmen, für diesen Hammerpreis hier ist man dabei, der ist aktuell unschlagbar.Die Speicherkarte schreibt schnell genug für Hochaufgelöste Videos von Wild- oder Sekurity-Kameras!",de,"Today 32GB are not much, but for the operation of e.g. game cameras indispensable, here very cheap.The most devices expect, however, that something is in it.With 32GB one comes already a piece with video and film recordings, for this hammer price here one is there, which is currently unbeatable.The memory card writes fast enough for high-resolution videos of game or sekurity cameras!"
14,"Sehr schnelle Lieferung, Produkt entspricht der Beschreibung, hab sehr gute Erfahrungen mit der SD Karte",de,"Very fast delivery, product corresponds to the description, very good experience with the SD card."
15,"Ich habe diese Samsung 1 TB A1 Micro SD-Karte zum ersten Mal gekauft. Die Lesegeschwindigkeit ist mit 87 MB/s in Ordnung, aber die Schreibgeschwindigkeit ist mit 30 MB/s sehr langsam. Das bedeutet, dass das Laden von Spielen in Ordnung ist, wenn auch nicht schnell, aber das Kopieren von Spielen auf die Karte vom internen oder einem externen Laufwerk. Es ist schnell und zuverlässig, und Spiele können installiert oder auf die SD-Karten beider Konsolen verschoben und von dort ausgeführt werden praktisch so schnell wie der interne Speicher.",de,"I bought this Samsung 1 TB A1 Micro SD card for the first time. The read speed is okay at 87 MB/s, but the write speed is very slow at 30 MB/s. This means that loading games is okay, although not fast, but copying games to the card from the internal drive or an external drive. It's fast and reliable, and games can be installed or moved to and run from both consoles' SD cards virtually as fast as the internal storage."
16,"Perfektes Produkt, schade nur dass die neuen Smartphones lieber Profit mit Speicherplätzen und Clouds machen und man den Kunden lieber abzockt als dass man ihm einen erweiterbaren Speicherplatz gönnt.",de,"Perfect product, it's just a pity that the new smartphones prefer to make a profit with storage spaces and clouds and that they would rather rip off the customer than give him an expandable storage space."
17,"Wir leider oft nicht als Karte erkannt im Handy. Lässt sich dann nicht beschreiben. Sreibschutz wird vom Handy angezeigt. Hilft dann nur ein Neustart des Handys.,das ist nervig.",de,"Unfortunately, it is often not recognised as a card in the mobile phone. It then cannot be written to. Write protection is displayed by the mobile phone. The only thing that helps is to restart the phone, which is annoying."
18,"Habe diese Speicherkarte für mein Handy gekauft, habe bis heute keine Probleme damit gehabt, Handy hat diese formatiert und alles gut.",de,"Bought this memory card for my phone, have had no problems with it to date, phone has formatted it and all good."
19,Einfach zu handhaben wie beschrieben.,de,Easy to handle as described.
