,Review,Language,Translated
10,"Ich hab das Set 3 mal bekommen . Das erste war nach 5 Monaten hinüber, das zweite nach einem Tag und das letzte nach 1Std. Jetzt war es mir zu doof die 3te Maschine auch wieder zurück zu senden, habe deshalb das Teil was defekt war im Internet bestellt und von Amazon eine Gutschrift bekommen. Trotz allem, ist man von Makita besseres Gewohnt. Hab noch eine Akkuflex gekauft mal sehen wie lange diese hält. Info kommt.",de,"I got the set 3 times. The first was broken after 5 months, the second after one day and the last after 1 hour. Now it was too stupid for me to send the third machine back, so I ordered the defective part on the internet and got a credit note from Amazon. Despite everything, I'm used to better from Makita. I bought another Akkuflex and will see how long it lasts. Info coming."
11,"Der Makita-Koffer hält, was er verspricht. Auch wenn der Koffer nicht mehr als ""handlich"" beschrieben werden kann, ist er doch kompakt und robust. Alles hat seinen Platz. Ich hatte bislang ein einfaches, aber grundsolides 14,4V-Markengerät für den Hausgebrauch. Der Unterschied zur 18V Makita mit hohem Drehmoment ist sehr deutlich spürbar. Verarbeitungsqualität und Lieferumfang ist sehr gut. Meine Lieferung war übrigens vollständig und intakt.",de,"The Makita case keeps its promise. Even though the case can no longer be described as ""handy"", it is still compact and robust. Everything has its place. I previously had a simple but rock-solid 14.4V branded tool for home use. The difference to the 18V Makita with high torque is very noticeable. Build quality and scope of delivery is very good. By the way, my delivery was complete and intact."
12,Ich hab den Koffer als Geschenk für meinen Mann bestellt da wir bereits gute Erfahrungen mit Makita gemacht haben. Ich war überzeugt von der Optik und natürlich des guten Inhaltes für den Preis . Der Alukoffer ist super stabil und lässt alles sicher und gut verstaut. Beide Akkus funktionieren einwandfrei und auch die Maschine bis jetzt . Man bekommt hier super Qualität und alles was man als leihe zuhause braucht für den Anfang zum guten Preis.1 Stern Abzug nur weil ich leider nichts über die Lebensdauer berichten kann da wir sie erst seit 2 Monaten besitzen .,de,I ordered the case as a gift for my husband because we already had good experiences with Makita. I was convinced by the look and of course the good content for the price. The aluminium case is super sturdy and keeps everything safe and well stored. Both batteries work perfectly and so does the machine so far. You get here super quality and everything you need as a leihe at home for the beginning at a good price.1 star deduction only because I unfortunately can not report anything about the life as we own it only for 2 months.
13,"Es ist bereits unser 3. Gerät dieser Sorte und wir sind stets begeistert über Qualität, Effektivität und Robustheit der Makitageräte. Nur zu Empfehlen wenn man mit Akkus arbeiten möchte.",de,"It is already our third tool of this type and we are always delighted with the quality, effectiveness and robustness of the Makita tools. Only to be recommended if you want to work with rechargeable batteries."
14,"Der gekaufte makita Akkuschrauber überzeugt mit tadelloser Qualität. Die Leistung der Maschine ist überragend und die Verarbeitung perfekt. Die Akkus laden sehr schnell und im Ladegerät selbst ist ein Lüfter verbaut, der vor Überhitzung schützt. Das beiliegende Zubehör ist ebenfalls von starker Qualität. Das einzige Manko, das zweimal das selbe Set an Bits im Koffer ist. Hier hätte man den Platz auch mit etwas anderem füllen können. Aber ganz klare Kaufempfehlung",de,The purchased makita cordless screwdriver convinces with impeccable quality. The performance of the machine is outstanding and the workmanship is perfect. The batteries charge very quickly and the charger itself has a fan that protects against overheating. The enclosed accessories are also of strong quality. The only drawback is that the same set of bits is in the case twice. The space could have been filled with something else. But a clear recommendation to buy
15,Impressive tool.Totally recommendable.BR,en,Impressive tool.Totally recommendable.BR
16,Preisleistung passt Makita halt gerne wieder ,de,Price performance fits Makita just gladly again
17,Guter Akkuschrauber der bisher gute Leistung gebracht hat.Toll finde ich das ausreichend Bit dabei sind  zudem nicht Bohrer und Handreher,de,"Good cordless screwdriver that has performed well so far. I think it's great that there are enough bits, not just drill bits and hand drivers."
18,alles ok.,da,Everything's fine.
19,Macht was es soll,de,Does what it should
20,Alles drin was man für ein Starterkit benötigt. Starke Maschine & umfangreiches Equipment bei top Qualität. Passt alles Makita!,de,Everything you need for a starter kit. Powerful machine & extensive equipment with top quality. Everything fits Makita!
21,Ich hatte mich ausgiebig informiert und dieser Verkäufer und das Produkt waren einfach die besten! Bin absolut begeistert und zufrieden und das Geschenk war der Knaller!,de,I had informed myself extensively and this seller and the product were simply the best! I am absolutely thrilled and satisfied and the gift was a hit!
22,"Ich wollte meinem Vater mal ordentliches Werkzeug schenken. Er hatte immer nur die billigen Versionen.Nun ist er mega stolz und freut sich schon auf die nächsten Feste, in der Hoffnung auf weitere Makita- Teile",de,"I wanted to give my father some proper tools as a present. He only ever had the cheap versions, but now he's so proud and looks forward to the next festivities in the hope of getting more Makita parts."
23,x,en,x
24,"Super schnellere lieferung, alles dabei...Perfekt...",de,"Super fast delivery, everything included...Perfect..."
25,Zum Schrauben alles was ins Haushalt geht,de,For screwing everything that goes into the household
26,"Alles top, immer wieder !",de,"Everything top, again and again !"
27,"Artikel wie vom Anbieter beschrieben ohne Akku, ohne Ladegerät. Pünktliche Lieferung. Ich habe diesen Akku-Schlagschrauber als Zweitgerätangeschafft. Für den Preis Top.",de,"Item as described by the supplier without battery, without charger. Delivery on time. I bought this cordless impact wrench as a second tool. Top for the price."
28,ist super und gut Qualität kann man nicht mehr sagen  Makita was besseres gib es nicht mit so viel Zubehör preis Leistung einfach genial,de,is super and good quality you can not say more Makita what better there is not with so many accessories price performance simply ingenious
29,"alles dabei was man so schnell braucht, alles gut verstaut, bin total zufrieden und jetzt Makita Fan",de,"Everything you need so quickly, everything well stowed away, I am totally satisfied and now a Makita fan."
30,Muss eine Kleinigkeit bemängeln und zwar die Bohrer waren in dem kompletten Koffer verteilt die musste ich da erstmal raus schütteln und einer war leider verbogen. Aber sonst top bin mit Makita immer zufrieden,de,I have one small complaint and that is that the drills were distributed throughout the case and I had to shake them out and one was unfortunately bent. But otherwise top I am always satisfied with Makita
31,"Toller schrauber, praktischer Koffer mit Schublade, meine Empfehlung",de,"Great screwdriver, practical case with drawer, my recommendation"
32,"Was soll man sagen, einfach nur gut.",de,"What can I say, just good."
33,Super Preis alles Perfekt gelaufen,de,Super price everything went perfectly
34,Hab es als Geschenk für meinen Sohn gekauft und er ist begeistert,de,I bought it as a gift for my son and he is thrilled.
35,Dankeschön super Artikel,de,Thank you super article
36,Die Tatsache das der Lieferant nachweislich nicht sorgfältig im Umgang der Ware war und dadurch ein Fuß abgebrochen ist. Schmälerte meine Begeisterung. Das wiederum wirkt sich nicht auf die Leistung des Gerätes aus. Zum Glück.,de,"The fact that the supplier was demonstrably not careful in handling the goods and that a foot broke off as a result. Diminished my enthusiasm. This, in turn, does not affect the performance of the appliance. Fortunately."
37,Absolut zu empfehlen. Gewohnte Makita Qualität! 1A,de,Absolutely recommended. Usual Makita quality! 1A
38,"Man kommt erst bei 13 mm in Beton langsam an die Leistungsgrenze. Ist mein Zweitgerät, um ständigen Werkzeugwechsel zwischen bohren und schrauben zu vermeiden. Koffer mit Bohrer usw.",de,"You only slowly reach the performance limit at 13 mm in concrete. It's my second tool, so I don't have to keep changing tools between drilling and screwing. Case with drill etc."
39,Top,en,Top
40,"The drill on itself seems good but the first impression was terrible, all the parts are badly in place most of the boring bits fell behind the drawer inside the box and took me 10min to get out, my question is how did they get here? They must have been a defect batch and they ship them on amazon instead of fixing it. For the rest the drill dies a good job so it is very unfortunate...",en,"The drill on itself seems good but the first impression was terrible, all the parts are badly in place most of the boring bits fell behind the drawer inside the box and took me 10min to get out, my question is how did they get here? They must have been a defect batch and they ship them on amazon instead of fixing it. For the rest the drill dies a good job so it is very unfortunate..."
41,Bekannt Makita super,de,Known Makita super
42,War ein Weihnachts Geschenk muss noch getestet werden,de,Was a Christmas gift still needs to be tested
43,Preisverhältnis 100% ok,de,Price ratio 100% ok
44,Top Lieferung und alles 🤩,de,Top delivery and everything 🤩
45,super,en,super
46,"Habe heute meinen Akku-Bohrschrauber nach ca. 1 Woche heute geliefert bekommen - soweit alles i. O. Als ich aber die Bohrer-Box öffnen wollte, haben sich die Bohrer darin derart verkeilt, dass sie zum Teil lose darin herumlagen und der Deckel sich nur äußerst schwer öffnen ließ. Dabei habe ich wie verschiedene andere Käufer festgestellt, dass die Steinbohrer Größe 8 und 3 fehlten. Ich wollte schon reklamieren, aber als ich den Koffer im geschlossenen Zustand schräg hielt, hörte ich plötzlich ein Klappern. Nachdem ich die untere Schublade entriegelt und herausgezogen hatte, lagen die beiden Bohrer seitlich in Führungsschienen darin. Ich stelle mir schon die Frage, wie diese Bohrer aus einer geschlossenen Metallbox herausfallen und unter die unterste Schublade gelangen können? Scheinbar haben mehrere Kunden dasselbe Problem.Deshalb gibt es von mir leider 1 Stern Abzug.",de,"I received my cordless drill today after about 1 week - everything was fine as far as it went. However, when I tried to open the drill box, the drills got wedged in it in such a way that some of them were lying around loose and it was extremely difficult to open the lid. Like several other buyers, I noticed that the masonry drills sizes 8 and 3 were missing. I was about to complain, but when I held the case at an angle when it was closed, I suddenly heard a clatter. After I had unlocked the bottom drawer and pulled it out, the two drills were lying in guide rails on the side inside. I am already asking myself how these drills can fall out of a closed metal box and get under the bottom drawer? Apparently, several customers have the same problem, which is why I have to deduct 1 star."
47,"Das Gerät macht einen sehr guten ersten Eindruck. Entgegen einiger Bewertungen läuft er rund und sowohl die Akkus als auch der Schrauber selbst konnten problemlos bei Makita zur Garantieverlängerung registriert werden.Etwas verärgert war bin ich jedoch von der Tatsache, dass insgesamt 4 Bohrer in dem Set fehlen! Einen habe ich lose in der Kiste wiederfinden können, die anderen sind nicht enthalten. Das ist nicht schön und in mehreren Bewertungen zu lesen. Ich sende das Gerät jetzt nicht zurück, aber eigentlich müsste ich das tun.UPDATE:Ich habe den Makita-Service kontaktiert und nach Schilderung des Problems wurden mit anstandslos die fehlenden Bohrer kostenlos zugeschickt! Dankeschön, das war Klasse! Ich hab später noch einen der vorher fehlenden Bohrer lose unter der Schublade gefunden, war etwas tricky den da rauszubringen.",de,"The device makes a very good first impression. Contrary to some reviews, it runs smoothly and both the batteries and the screwdriver itself could be registered with Makita for warranty extension without any problems.However, I was somewhat annoyed by the fact that a total of 4 drill bits are missing from the set! I found one loose in the box, the others are not included. This is not nice and can be read in several reviews. I'm not returning the tool now, but actually I should.UPDATE:I contacted Makita service and after describing the problem, they sent me the missing drill bits free of charge! Thank you, that was great! I later found one of the previously missing drill bits loose under the drawer, it was a bit tricky to get it out."
48,"Wer Makita kennt, kennt auch die Qualität.",de,Those who know Makita also know the quality.
49,"Mit Makita, kann man nichts falsch machen!Immer wieder zu empfehlen!",de,"With Makita, you can't go wrong! Always recommended!"
50,"Alles tip top, nur der Bithalter fehltFür Deckenarbeiten etwas schwer.",de,"Everything is tip-top, only the bit holder is missingSomewhat difficult for ceiling work."
51,"Erweiterung meiner Werkzeuge, auch für Privat immer Qualität Kaufen",de,"Expanding my tools, also for private use Always buy quality"
52,Die Bohrmaschine kann alles bohren Schrauben und Schlagbohrern also ideal man braucht nicht drei Maschinen.Alle Bits und Bohrer sind dabei also für Heimwerker eine gute Kombi,de,The drill can drill everything screws and hammer drills so ideal you do not need three machines.all bits and drills are included so for DIYers a good combo.
53,"Alles super bis auf die Bohrerkasette ,da der Verschlussdeckel Verzogen ist!",de,"Everything is great except for the drill cassette, because the cover is warped!"
54,Klare Empfehlung!Alles für kleine Handwerksaufgaben da!,de,Everything you need for small handicraft tasks!
55,Der Makita DHP482Z Akku-Schlagbohrschrauber 18 V ist ei super Gerät. Das Bohren und schrauben funktioniert sehr gut.,de,The Makita DHP482Z cordless impact drill 18 V is a great tool. Drilling and screwing works very well.
56,"Fehlendes Zubehör, schnelle Zusendung der fehlende Bohrer",de,"Missing accessories, fast delivery of the missing drill bits"
57,"Überall wo man guckt,  bezahlt man viel mehr für den Akkuschrauber, und bekommt nicht mal ansatzweise soviel wie in dem Set.",de,"Everywhere you look, you pay much more for the cordless screwdriver, and you don't get nearly as much as in the set."
58,"Der Schrauber und das Zubehör sind ok. Der Koffer war jedoch leicht beschädigt, das Kunststoffinlet ist gebrochen und die Lade streift beim Herausziehen da der Boden durchhängt. Daher ein Stern Abzug. Schnelle Lieferung.",de,"The screwdriver and accessories are ok. However, the case was slightly damaged, the plastic inlet is broken and the drawer is sticking when pulling it out because the bottom is sagging. Therefore one star deduction. Fast delivery."
59,Nach über einem Jahr bin ich immer noch mehr als zufrieden. Für den Preis ist die Makita einfach der Hammer.,de,"After more than a year, I am still more than satisfied. For the price, the Makita is simply awesome."
60,Die Ausführung von Maschine Akku und Ladegerät ist sehr gut.Auch das ganze Set eine Einheit im Design ist zum Weiter empfehlen.,de,The design of the machine battery and charger is very good and the whole set is a unit in design to recommend.
61,"Im Großen und Ganzen I.O. Schlagwerk ist OK .Drehzahl OK nur das Bohrfutter sollte meines Erachtens besser sein, nicht im Rundlauf sondern mit der Klemmkraft des Spannfutters das manchmal, die Bohrer nicht ausreichend spannt ,wodurch beim Bohren der Bohrer durchdreht !",de,"On the whole I.O. Percussion mechanism is OK, speed OK, only the drill chuck should be better, not in terms of concentricity, but with the clamping force of the chuck, which sometimes does not clamp the drill sufficiently, causing the drill to spin when drilling!"
62,"Alles in allem gut,schade ist das einige  bohrer fehlen  .Warum auch immer?",de,"All in all good, it is a pity that some drills are missing, why ever?"
63,"Einfache Bestellung,schnelle Lieferung und Top Qualität!!!",de,"Easy order,fast delivery and top quality!!!"
64,"Sehr guter Akkuschlagschrauber , tolles Zubehör, reicht vollkommen für den Hausgebrauch aus",de,"Very good cordless impact wrench, great accessories, perfectly adequate for home use"
65,Zu hause bei hobi,de,At home with hobi
66,Ein Super Akku-Schlagbohrschrauber mit tollem Zubehör ein top komplett Angebot.,de,A super cordless impact drill with great accessories - a top complete offer.
67,Alles super!,de,Everything is great!
68,Mein Bruder hat sich total drauf gefreut,de,My brother was really looking forward to it
69,Genau so wie es sein soll. Perfekt.,de,Exactly as it should be. Perfect.
70,", wenn man das Komplettset bestellt. Heute angekommen, alle Teile (Bohrer!) vorhanden und super in dem Koffer verpackt. Werden die Kassetten mit den vielen Bits zugeklappt, ist loclkert Platz für Bleisdtift, Zollstock usw. in der unteren Schublade. Prima!",de,"if you order the complete set. Arrived today, all the parts (drill bits!) are there and superbly packed in the case. When the cassettes with the many bits are closed, there is loclkert space for a lead pencil, folding rule etc. in the bottom drawer. Great!"
71,Super Koffer. Für den Anfang sehr gut.,de,Super suitcase. Very good for the beginning.
72,Das Gerät ist sehr gut verarbeitet. Der Preis stimmt und es ist einfach zu bedienen,de,The unit is very well made. The price is right and it is easy to use
73,Ok,en,Ok
74,"Sehr gutes Preis/Leistungsverhältnis. Alles funktioniert einwandfrei, ist unglaublich robust, einfach zu handhaben, viel Zubehör. Schnelle Lieferung.ALLES TOP!!!",de,"Very good price/performance ratio. Everything works perfectly, is incredibly robust, easy to handle, lots of accessories. Fast delivery.ALL TOP!!!"
75,Mein Mann ist sehr zufrieden damit und ich auch,de,My husband is very happy with it and so am I
76,"Wie schon einmal beschrieben, sind bei mir auch die Bohrer nicht vollständig in der Bohrer-Metallbox. Es fehlt der 8mm Steinbohrer.Hatte Makita daraufhin angeschrieben. Bekam aber die Antwort, das der Verkäufer, hier Amazon, dafür verantwortlich ist. Ich müsste mich somit an Amazon wenden.Mag ja sein, nur verpackt Amazon ja nicht den Koffer mitsamt den Teilen.Bin da schon etwas von Makita enttäuscht.Update 07. September 2022:Makita wird mir den fehlenden 8mm Bohrer zusenden. Mögliche Einsicht? Bin soweit zufrieden mit dem Ergebnis.",de,"As described before, my drill bits are not complete in the metal drill bit box. The 8mm masonry drill bit is missing, so I wrote to Makita. But I got the answer that the seller, in this case Amazon, is responsible for this. That may be, but Amazon does not pack the case together with the parts.I am a little disappointed with Makita.Update 07 September 2022:Makita will send me the missing 8mm drill bit. Possible insight? I am satisfied with the result so far."
77,Sehr gute Kombination von Akkuschrauber/ Bohrer und Zubehör! Auspacken und die Arbeit ist im Handumdrehen erledigt.,de,Very good combination of cordless screwdriver/drill and accessories! Unpack and the job is done in no time.
78,Tolles Produkt,de,Great product
79,Super Maschine für den Preis nur leider war die Bohrerbox schon defekt die Bleche der Halterung waren dermaßen verbogen obwohl dies eig ein neuer Koffer ist,de,Super machine for the price but unfortunately the drill box was already defective the plates of the holder were so bent although this is actually a new case.
80,"Sehr handlich, Compact, einfach gut.",de,"Very handy, compact, simply good."
81,Mein Mann ist sehr zu frieden,de,My husband is very satisfied
82,"Habe diesen Akku Schrauber als Geschenk zu Weihnachten gekauft.Nach Erhalt habe ich ihn natürlich gleich geöffnet, da in anderen Rezensionen zu lesen war, das einige Teile fehlten....und siehe da...auch bei meiner Bestellung fehlten 2 Bohrer ...welches mir unbegreiflich ist...da ja alles verpackt ist. Habe dann versucht bei Makita an zu rufen...da warte ich immer noch auf einen Rückruf....und habe auch versucht schriftlich etwas zu erreichen.....schade....hat auch nicht funktioniert. Es sind ja nur 2 fehlende Bohrer...aber für den Preis kann man schon erwarten, das das Zubehöhr vollständig dabei ist. War schon enttäuscht und finde es traurig das Makita es nicht  nötig hat, zu mindestens zurück zu rufen.",de,"I bought this cordless screwdriver as a gift for Christmas.After receiving it, I opened it immediately, of course, because other reviews said that some parts were missing....and lo and behold...2 drills were missing from my order as well...which is incomprehensible to me...since everything is packed. I then tried to call Makita...I'm still waiting for a callback....and I also tried to contact them in writing.....what a pity....it didn't work either. There are only 2 missing drills...but for the price you can expect that all the accessories are included. I was disappointed and I think it's sad that Makita doesn't have to at least call me back."
83,"Dieser Akkubohrer hat sich auf der Baustelle sehr bewährt. Das Zubehör ist so ausgesucht, dass man für 99% der Fälle gewappnet ist. Die Haltbarkeit der Maschine und die des mitgelieferten Werkzeugs, sowie auch die relativ kurzen Ladezeiten machen sie zu einem guten Beleiter bei allen Arbeiten.",de,"This cordless drill has proven itself on the construction site. The accessories are selected in such a way that you are prepared for 99% of the cases. The durability of the machine and the tools included, as well as the relatively short charging times, make it a good companion for all types of work."
84,"Beim zweiten Anlauf hat es dann doch geklappt. Habe zunächst auch ein gerät erhalten welches, wie in anderen kommentaren dargestellt, keinen ruhigen/geraden lauf hatte. Außerdem war der Alu-Rahmen der box beschädigt und das ganze werkzeug mit fingerabdrücken übersäht. Schätze es war eines der vorrangegangenen retouren. Habe es zurück gesendet und ein wirklich neues erhalten. Umtausch ging problemlos. Das neue gerät ist Top wie man es Eig. von makita erwartet. Alles ist sauber und diesmal wäre ich fast zufrieden.... wenn der inlay in der box nicht beschädigt wäre, wie man im Bild sehen kann.Deswegen gibts nur 3 punkte. sorry.",de,"The second time I tried it, it worked. I also received a device that, as described in other comments, did not run smoothly/straight. In addition, the aluminium frame of the box was damaged and the entire tool was covered with fingerprints. Guess it was one of the previous returns. I sent it back and received a really new one. Exchange went smoothly. The new tool is as good as you'd expect from makita. Everything is clean and this time I would almost be satisfied.... if the inlay in the box wasn't damaged, as you can see in the picture. that's why I only got 3 points. sorry."
85,Die war mein Traum 🥰,de,It was my dream 🥰
86,"Bin sehr zufrieden, unschlagbar ",de,"I am very satisfied, unbeatable"
87,Wie nicht anders zu erwarten topp Qualität zu einem super Preis.,de,"As you would expect, top quality at a great price."
88,"Super Gerät, mein ersten Makkita habe ich vor 11 Jahre vorm Haus bauen gekauft! Der geht immer noch wie damals, Akkus haben immer noch mind. 80 Prozent Leistung!",de,"Super tool, I bought my first Makkita 11 years ago before building my house! It still works like it did back then, the batteries still have at least 80 per cent power!"
89,Sehr kraftvoll,de,Very powerful
90,"Makita DHP482Z Akku-Schlagbohrschrauber 18 Vhat den richtigen Handwerkerbiss, so geht vieles zuverlässig mit einer Maschine.",de,"Makita DHP482Z cordless impact drill 18 Vhas the right craftsman's bite, so many things can be done reliably with one machine."
91,Alles parat super alles aufgeteilt,de,Everything ready super everything divided
92,"Ich habe ihn als Ersatz für meinen Defekten Schrauber geholt, ich bin sehr zufrieden damit der Name steht ja nicht umsonst für Qualität",de,"I got it as a replacement for my defective screwdriver, I am very satisfied with it the name does not stand for quality for nothing."
93,"Produkt spełnił moje oczekiwania. Super moc , szybkie ładowanie. Polecam każdemu.",pl,"The product met my expectations. Super power , fast charging. I recommend it to everyone."
94,Toller wertiger Koffer.Schön alles an seinem Platz zu haben.Kann ich empfehlen.,de,Great value case.Nice to have everything in its place.Can recommend.
95,Hallo habe gestern bestellt und und heute erhalten meine Makita Akku Schlagbohrmaschine Top,de,Hello I ordered yesterday and today I received my Makita battery-powered impact drill Top
96,"Alles bestens, sehr gut in der Handhabung, Akkus und Gerät bestens",de,"Everything in the best way, very good handling, batteries and device in the best way"
97,Gibt nicht viel zu schreiben. Makita halt..einfach super. Preis ist mega!,de,There's not much to write about. Makita just..simply great. The price is mega!
98,Qualität wie von Makita gewohnt. Sehr gutes Drehmoment und Akkus mit Kapazitätsanzeige,de,Quality as you would expect from Makita. Very good torque and batteries with capacity indicator
99,Koffer hat alles was man üblicherweise benötigt. Der Akku hält langeKoffer ist sehr robust und ich Obdachs Verschlüsse,de,Case has everything you usually need. The battery lasts a long timeCase is very robust and I like the latches.
100,"Alles wunderbar. Auch die Aufbewahrung in dem Koffer ist klasse, man hat alles zusammen.",de,"Everything is wonderful. The storage in the case is also great, you have everything together."
101,"Ich nutze diesen Bohrer als Zweitbohrer in Ergänzung zu meinem DDF 482Z. So habe ich bspw. einen Bohrer zum Vorbohren und einem zum Schrauben etc.Die Schlagfunktion habe ich bisher nicht ernsthaft benutzt - da ich einen Bohrhammer habe und dazu eben die DDF482 ohne Schlagfunktion habe ich das hier in diesem Fall nur ""mitgenommen"" um alle Varianten in meinem Arsenal zu haben.Für diesen wie meinen anderen Makita-Bohrer kann ich nur sagen, dass ich sehr zufrieden bin, die Geräte einen hochwerten und verlässlichen Eindruck machen und ich damit auch schon viel Schabernack getrieben habe - von Holzverarbeitung über Stein-Bohrungen, Bohren mit Forstner-Bohrern bis hin zum Durchbohren von Metall-Gewindestangen.Positiv hervorheben möchte ich noch, dass dieser Bohrer neben dem Drehmoment-Wahlrad ein zweites Einstellrad besitzt, über das geregelt wird, ob man bohren, schrauben oder schlagbohren möchte. Einstellung ""Schrauben"" bedeutet dabei gewissermaßen ""beachte das Drehmoment-Wahlrad"" und ""Bohren"" bedeutet ""ignoriere die Einstellung, volle Pulle"". Das ist sehr praktisch, wenn ihr bspw. zwischen Bohren und Schrauben hin- und her wechselt: Dann müsst ihr nicht immer umständlich die Drehmoment-Stufen wechseln (""welche hatte ich nochmal?"") sondern mit einem Dreh zwischen ""Volle Pulle"" und eurer favorisierten Drehmoment-Stufe hin- und her wechseln.Nachteil bei dem Drehrad ist leider, dass es für meine etwas größeren Hände etwas schwer zu greifen / drehen ist. Insofern ist die Freude über diese etwas coole Funktion leider etwas getrübt.",de,"I use this drill as a second drill in addition to my DDF 482Z. For example, I have a drill for pre-drilling and one for screwing etc. I have not seriously used the impact function so far - as I have a hammer drill and the DDF482 without impact function, I only ""took"" this one in this case to have all variants in my arsenal.For this and my other Makita drills, I can only say that I am very satisfied, the devices make a high-quality and reliable impression and I have already done a lot of shenanigans with them - from woodworking to stone drilling, drilling with Forstner drills to drilling through metal threaded rods. I would also like to positively point out that this drill has a second dial in addition to the torque dial, which controls whether you want to drill, screw or impact drill. The ""screw"" setting means ""pay attention to the torque dial"" and ""drill"" means ""ignore the setting, full speed"". This is very practical when you switch back and forth between drilling and screwing, for example: Then you don't always have to awkwardly change the torque levels (""which one did I have again?"") but instead switch back and forth between ""full throttle"" and your favourite torque level with one turn.The disadvantage of the rotary wheel is unfortunately that it is somewhat difficult for my somewhat larger hands to grip / turn. In this respect, the joy of this somewhat cool function is unfortunately somewhat dampened."
102,Bohrer sind nicht vollständig,de,Drills are not complete
103,"Grandios, super Akusschlagbohrer von Makita.Alles dabei,was ein Handwerker braucht.",de,"Great, super acoustic impact drill from Makita, everything a craftsman needs."
