,Review,Language
10,"Ich hab das Set 3 mal bekommen . Das erste war nach 5 Monaten hinüber, das zweite nach einem Tag und das letzte nach 1Std. Jetzt war es mir zu doof die 3te Maschine auch wieder zurück zu senden, habe deshalb das Teil was defekt war im Internet bestellt und von Amazon eine Gutschrift bekommen. Trotz allem, ist man von Makita besseres Gewohnt. Hab noch eine Akkuflex gekauft mal sehen wie lange diese hält. Info kommt.",de
11,"Der Makita-Koffer hält, was er verspricht. Auch wenn der Koffer nicht mehr als ""handlich"" beschrieben werden kann, ist er doch kompakt und robust. Alles hat seinen Platz. Ich hatte bislang ein einfaches, aber grundsolides 14,4V-Markengerät für den Hausgebrauch. Der Unterschied zur 18V Makita mit hohem Drehmoment ist sehr deutlich spürbar. Verarbeitungsqualität und Lieferumfang ist sehr gut. Meine Lieferung war übrigens vollständig und intakt.",de
12,Ich hab den Koffer als Geschenk für meinen Mann bestellt da wir bereits gute Erfahrungen mit Makita gemacht haben. Ich war überzeugt von der Optik und natürlich des guten Inhaltes für den Preis . Der Alukoffer ist super stabil und lässt alles sicher und gut verstaut. Beide Akkus funktionieren einwandfrei und auch die Maschine bis jetzt . Man bekommt hier super Qualität und alles was man als leihe zuhause braucht für den Anfang zum guten Preis.1 Stern Abzug nur weil ich leider nichts über die Lebensdauer berichten kann da wir sie erst seit 2 Monaten besitzen .,de
13,"Es ist bereits unser 3. Gerät dieser Sorte und wir sind stets begeistert über Qualität, Effektivität und Robustheit der Makitageräte. Nur zu Empfehlen wenn man mit Akkus arbeiten möchte.",de
14,"Der gekaufte makita Akkuschrauber überzeugt mit tadelloser Qualität. Die Leistung der Maschine ist überragend und die Verarbeitung perfekt. Die Akkus laden sehr schnell und im Ladegerät selbst ist ein Lüfter verbaut, der vor Überhitzung schützt. Das beiliegende Zubehör ist ebenfalls von starker Qualität. Das einzige Manko, das zweimal das selbe Set an Bits im Koffer ist. Hier hätte man den Platz auch mit etwas anderem füllen können. Aber ganz klare Kaufempfehlung",de
15,Impressive tool.Totally recommendable.BR,en
16,Preisleistung passt Makita halt gerne wieder ,de
17,Guter Akkuschrauber der bisher gute Leistung gebracht hat.Toll finde ich das ausreichend Bit dabei sind  zudem nicht Bohrer und Handreher,de
18,alles ok.,da
19,Macht was es soll,de
20,Alles drin was man für ein Starterkit benötigt. Starke Maschine & umfangreiches Equipment bei top Qualität. Passt alles Makita!,de
21,Ich hatte mich ausgiebig informiert und dieser Verkäufer und das Produkt waren einfach die besten! Bin absolut begeistert und zufrieden und das Geschenk war der Knaller!,de
22,"Ich wollte meinem Vater mal ordentliches Werkzeug schenken. Er hatte immer nur die billigen Versionen.Nun ist er mega stolz und freut sich schon auf die nächsten Feste, in der Hoffnung auf weitere Makita- Teile",de
23,x,en
24,"Super schnellere lieferung, alles dabei...Perfekt...",de
25,Zum Schrauben alles was ins Haushalt geht,de
26,"Alles top, immer wieder !",de
27,"Artikel wie vom Anbieter beschrieben ohne Akku, ohne Ladegerät. Pünktliche Lieferung. Ich habe diesen Akku-Schlagschrauber als Zweitgerätangeschafft. Für den Preis Top.",de
28,ist super und gut Qualität kann man nicht mehr sagen  Makita was besseres gib es nicht mit so viel Zubehör preis Leistung einfach genial,de
29,"alles dabei was man so schnell braucht, alles gut verstaut, bin total zufrieden und jetzt Makita Fan",de
30,Muss eine Kleinigkeit bemängeln und zwar die Bohrer waren in dem kompletten Koffer verteilt die musste ich da erstmal raus schütteln und einer war leider verbogen. Aber sonst top bin mit Makita immer zufrieden,de
31,"Toller schrauber, praktischer Koffer mit Schublade, meine Empfehlung",de
32,"Was soll man sagen, einfach nur gut.",de
33,Super Preis alles Perfekt gelaufen,de
34,Hab es als Geschenk für meinen Sohn gekauft und er ist begeistert,de
35,Dankeschön super Artikel,de
36,Die Tatsache das der Lieferant nachweislich nicht sorgfältig im Umgang der Ware war und dadurch ein Fuß abgebrochen ist. Schmälerte meine Begeisterung. Das wiederum wirkt sich nicht auf die Leistung des Gerätes aus. Zum Glück.,de
37,Absolut zu empfehlen. Gewohnte Makita Qualität! 1A,de
38,"Man kommt erst bei 13 mm in Beton langsam an die Leistungsgrenze. Ist mein Zweitgerät, um ständigen Werkzeugwechsel zwischen bohren und schrauben zu vermeiden. Koffer mit Bohrer usw.",de
39,Top,en
40,"The drill on itself seems good but the first impression was terrible, all the parts are badly in place most of the boring bits fell behind the drawer inside the box and took me 10min to get out, my question is how did they get here? They must have been a defect batch and they ship them on amazon instead of fixing it. For the rest the drill dies a good job so it is very unfortunate...",en
41,Bekannt Makita super,de
42,War ein Weihnachts Geschenk muss noch getestet werden,de
43,Preisverhältnis 100% ok,de
44,Top Lieferung und alles 🤩,de
45,super,en
46,"Habe heute meinen Akku-Bohrschrauber nach ca. 1 Woche heute geliefert bekommen - soweit alles i. O. Als ich aber die Bohrer-Box öffnen wollte, haben sich die Bohrer darin derart verkeilt, dass sie zum Teil lose darin herumlagen und der Deckel sich nur äußerst schwer öffnen ließ. Dabei habe ich wie verschiedene andere Käufer festgestellt, dass die Steinbohrer Größe 8 und 3 fehlten. Ich wollte schon reklamieren, aber als ich den Koffer im geschlossenen Zustand schräg hielt, hörte ich plötzlich ein Klappern. Nachdem ich die untere Schublade entriegelt und herausgezogen hatte, lagen die beiden Bohrer seitlich in Führungsschienen darin. Ich stelle mir schon die Frage, wie diese Bohrer aus einer geschlossenen Metallbox herausfallen und unter die unterste Schublade gelangen können? Scheinbar haben mehrere Kunden dasselbe Problem.Deshalb gibt es von mir leider 1 Stern Abzug.",de
47,"Das Gerät macht einen sehr guten ersten Eindruck. Entgegen einiger Bewertungen läuft er rund und sowohl die Akkus als auch der Schrauber selbst konnten problemlos bei Makita zur Garantieverlängerung registriert werden.Etwas verärgert war bin ich jedoch von der Tatsache, dass insgesamt 4 Bohrer in dem Set fehlen! Einen habe ich lose in der Kiste wiederfinden können, die anderen sind nicht enthalten. Das ist nicht schön und in mehreren Bewertungen zu lesen. Ich sende das Gerät jetzt nicht zurück, aber eigentlich müsste ich das tun.UPDATE:Ich habe den Makita-Service kontaktiert und nach Schilderung des Problems wurden mit anstandslos die fehlenden Bohrer kostenlos zugeschickt! Dankeschön, das war Klasse! Ich hab später noch einen der vorher fehlenden Bohrer lose unter der Schublade gefunden, war etwas tricky den da rauszubringen.",de
48,"Wer Makita kennt, kennt auch die Qualität.",de
49,"Mit Makita, kann man nichts falsch machen!Immer wieder zu empfehlen!",de
50,"Alles tip top, nur der Bithalter fehltFür Deckenarbeiten etwas schwer.",de
51,"Erweiterung meiner Werkzeuge, auch für Privat immer Qualität Kaufen",de
52,Die Bohrmaschine kann alles bohren Schrauben und Schlagbohrern also ideal man braucht nicht drei Maschinen.Alle Bits und Bohrer sind dabei also für Heimwerker eine gute Kombi,de
53,"Alles super bis auf die Bohrerkasette ,da der Verschlussdeckel Verzogen ist!",de
54,Klare Empfehlung!Alles für kleine Handwerksaufgaben da!,de
55,Der Makita DHP482Z Akku-Schlagbohrschrauber 18 V ist ei super Gerät. Das Bohren und schrauben funktioniert sehr gut.,de
56,"Fehlendes Zubehör, schnelle Zusendung der fehlende Bohrer",de
57,"Überall wo man guckt,  bezahlt man viel mehr für den Akkuschrauber, und bekommt nicht mal ansatzweise soviel wie in dem Set.",de
58,"Der Schrauber und das Zubehör sind ok. Der Koffer war jedoch leicht beschädigt, das Kunststoffinlet ist gebrochen und die Lade streift beim Herausziehen da der Boden durchhängt. Daher ein Stern Abzug. Schnelle Lieferung.",de
59,Nach über einem Jahr bin ich immer noch mehr als zufrieden. Für den Preis ist die Makita einfach der Hammer.,de
60,Die Ausführung von Maschine Akku und Ladegerät ist sehr gut.Auch das ganze Set eine Einheit im Design ist zum Weiter empfehlen.,de
61,"Im Großen und Ganzen I.O. Schlagwerk ist OK .Drehzahl OK nur das Bohrfutter sollte meines Erachtens besser sein, nicht im Rundlauf sondern mit der Klemmkraft des Spannfutters das manchmal, die Bohrer nicht ausreichend spannt ,wodurch beim Bohren der Bohrer durchdreht !",de
62,"Alles in allem gut,schade ist das einige  bohrer fehlen  .Warum auch immer?",de
63,"Einfache Bestellung,schnelle Lieferung und Top Qualität!!!",de
64,"Sehr guter Akkuschlagschrauber , tolles Zubehör, reicht vollkommen für den Hausgebrauch aus",de
65,Zu hause bei hobi,de
66,Ein Super Akku-Schlagbohrschrauber mit tollem Zubehör ein top komplett Angebot.,de
67,Alles super!,de
68,Mein Bruder hat sich total drauf gefreut,de
69,Genau so wie es sein soll. Perfekt.,de
70,", wenn man das Komplettset bestellt. Heute angekommen, alle Teile (Bohrer!) vorhanden und super in dem Koffer verpackt. Werden die Kassetten mit den vielen Bits zugeklappt, ist loclkert Platz für Bleisdtift, Zollstock usw. in der unteren Schublade. Prima!",de
71,Super Koffer. Für den Anfang sehr gut.,de
72,Das Gerät ist sehr gut verarbeitet. Der Preis stimmt und es ist einfach zu bedienen,de
73,Ok,en
74,"Sehr gutes Preis/Leistungsverhältnis. Alles funktioniert einwandfrei, ist unglaublich robust, einfach zu handhaben, viel Zubehör. Schnelle Lieferung.ALLES TOP!!!",de
75,Mein Mann ist sehr zufrieden damit und ich auch,de
76,"Wie schon einmal beschrieben, sind bei mir auch die Bohrer nicht vollständig in der Bohrer-Metallbox. Es fehlt der 8mm Steinbohrer.Hatte Makita daraufhin angeschrieben. Bekam aber die Antwort, das der Verkäufer, hier Amazon, dafür verantwortlich ist. Ich müsste mich somit an Amazon wenden.Mag ja sein, nur verpackt Amazon ja nicht den Koffer mitsamt den Teilen.Bin da schon etwas von Makita enttäuscht.Update 07. September 2022:Makita wird mir den fehlenden 8mm Bohrer zusenden. Mögliche Einsicht? Bin soweit zufrieden mit dem Ergebnis.",de
77,Sehr gute Kombination von Akkuschrauber/ Bohrer und Zubehör! Auspacken und die Arbeit ist im Handumdrehen erledigt.,de
78,Tolles Produkt,de
79,Super Maschine für den Preis nur leider war die Bohrerbox schon defekt die Bleche der Halterung waren dermaßen verbogen obwohl dies eig ein neuer Koffer ist,de
80,"Sehr handlich, Compact, einfach gut.",de
81,Mein Mann ist sehr zu frieden,de
82,"Habe diesen Akku Schrauber als Geschenk zu Weihnachten gekauft.Nach Erhalt habe ich ihn natürlich gleich geöffnet, da in anderen Rezensionen zu lesen war, das einige Teile fehlten....und siehe da...auch bei meiner Bestellung fehlten 2 Bohrer ...welches mir unbegreiflich ist...da ja alles verpackt ist. Habe dann versucht bei Makita an zu rufen...da warte ich immer noch auf einen Rückruf....und habe auch versucht schriftlich etwas zu erreichen.....schade....hat auch nicht funktioniert. Es sind ja nur 2 fehlende Bohrer...aber für den Preis kann man schon erwarten, das das Zubehöhr vollständig dabei ist. War schon enttäuscht und finde es traurig das Makita es nicht  nötig hat, zu mindestens zurück zu rufen.",de
83,"Dieser Akkubohrer hat sich auf der Baustelle sehr bewährt. Das Zubehör ist so ausgesucht, dass man für 99% der Fälle gewappnet ist. Die Haltbarkeit der Maschine und die des mitgelieferten Werkzeugs, sowie auch die relativ kurzen Ladezeiten machen sie zu einem guten Beleiter bei allen Arbeiten.",de
84,"Beim zweiten Anlauf hat es dann doch geklappt. Habe zunächst auch ein gerät erhalten welches, wie in anderen kommentaren dargestellt, keinen ruhigen/geraden lauf hatte. Außerdem war der Alu-Rahmen der box beschädigt und das ganze werkzeug mit fingerabdrücken übersäht. Schätze es war eines der vorrangegangenen retouren. Habe es zurück gesendet und ein wirklich neues erhalten. Umtausch ging problemlos. Das neue gerät ist Top wie man es Eig. von makita erwartet. Alles ist sauber und diesmal wäre ich fast zufrieden.... wenn der inlay in der box nicht beschädigt wäre, wie man im Bild sehen kann.Deswegen gibts nur 3 punkte. sorry.",de
85,Die war mein Traum 🥰,de
86,"Bin sehr zufrieden, unschlagbar ",de
87,Wie nicht anders zu erwarten topp Qualität zu einem super Preis.,de
88,"Super Gerät, mein ersten Makkita habe ich vor 11 Jahre vorm Haus bauen gekauft! Der geht immer noch wie damals, Akkus haben immer noch mind. 80 Prozent Leistung!",de
89,Sehr kraftvoll,de
90,"Makita DHP482Z Akku-Schlagbohrschrauber 18 Vhat den richtigen Handwerkerbiss, so geht vieles zuverlässig mit einer Maschine.",de
91,Alles parat super alles aufgeteilt,de
92,"Ich habe ihn als Ersatz für meinen Defekten Schrauber geholt, ich bin sehr zufrieden damit der Name steht ja nicht umsonst für Qualität",de
93,"Produkt spełnił moje oczekiwania. Super moc , szybkie ładowanie. Polecam każdemu.",pl
94,Toller wertiger Koffer.Schön alles an seinem Platz zu haben.Kann ich empfehlen.,de
95,Hallo habe gestern bestellt und und heute erhalten meine Makita Akku Schlagbohrmaschine Top,de
96,"Alles bestens, sehr gut in der Handhabung, Akkus und Gerät bestens",de
97,Gibt nicht viel zu schreiben. Makita halt..einfach super. Preis ist mega!,de
98,Qualität wie von Makita gewohnt. Sehr gutes Drehmoment und Akkus mit Kapazitätsanzeige,de
99,Koffer hat alles was man üblicherweise benötigt. Der Akku hält langeKoffer ist sehr robust und ich Obdachs Verschlüsse,de
100,"Alles wunderbar. Auch die Aufbewahrung in dem Koffer ist klasse, man hat alles zusammen.",de
101,"Ich nutze diesen Bohrer als Zweitbohrer in Ergänzung zu meinem DDF 482Z. So habe ich bspw. einen Bohrer zum Vorbohren und einem zum Schrauben etc.Die Schlagfunktion habe ich bisher nicht ernsthaft benutzt - da ich einen Bohrhammer habe und dazu eben die DDF482 ohne Schlagfunktion habe ich das hier in diesem Fall nur ""mitgenommen"" um alle Varianten in meinem Arsenal zu haben.Für diesen wie meinen anderen Makita-Bohrer kann ich nur sagen, dass ich sehr zufrieden bin, die Geräte einen hochwerten und verlässlichen Eindruck machen und ich damit auch schon viel Schabernack getrieben habe - von Holzverarbeitung über Stein-Bohrungen, Bohren mit Forstner-Bohrern bis hin zum Durchbohren von Metall-Gewindestangen.Positiv hervorheben möchte ich noch, dass dieser Bohrer neben dem Drehmoment-Wahlrad ein zweites Einstellrad besitzt, über das geregelt wird, ob man bohren, schrauben oder schlagbohren möchte. Einstellung ""Schrauben"" bedeutet dabei gewissermaßen ""beachte das Drehmoment-Wahlrad"" und ""Bohren"" bedeutet ""ignoriere die Einstellung, volle Pulle"". Das ist sehr praktisch, wenn ihr bspw. zwischen Bohren und Schrauben hin- und her wechselt: Dann müsst ihr nicht immer umständlich die Drehmoment-Stufen wechseln (""welche hatte ich nochmal?"") sondern mit einem Dreh zwischen ""Volle Pulle"" und eurer favorisierten Drehmoment-Stufe hin- und her wechseln.Nachteil bei dem Drehrad ist leider, dass es für meine etwas größeren Hände etwas schwer zu greifen / drehen ist. Insofern ist die Freude über diese etwas coole Funktion leider etwas getrübt.",de
102,Bohrer sind nicht vollständig,de
103,"Grandios, super Akusschlagbohrer von Makita.Alles dabei,was ein Handwerker braucht.",de
104,"Trotz anders lautender Rezessionen. Die alten LXT Akkus BL18xx passen ohne Umbau Murkserei auf die Maschine. Getestet mit zwei Orignal Makita BL1830 und BL1850 und einem Secondsource Akku von OTB. Alle Akkus passen 100% auf die Maschine und bringen die volle Leistung.Ebenfalls funktionieren die alten 14,4V Akkus BL1415 und BL1430. Trotz geringerer Spannung ist keine Leistungseinbusße fest zu stellen.",de
105,Der Akku hält länger die Leistung die ist perfekt,de
106,"Im Lieferumfang war alles enthalten, alles top.Nach 2-3 maligem intensiver Gebrauch. (Sanierung) miT Schrauben und Bohren fällt auf, dass das Bohrfutter eiert. Somit haben alle Löcher nicht exakt das Maß des Bohrers.Daher nicht zu empfehlen für öfteren Gebrauch",de
107,Sehr robust und stark,de
108,Sehr schnelle Lieferung und ein absolut super  Akkubohrschrauber von Makita würde ich jederzeit wieder kaufen .Sehr zuempfehlen ,de
109,Sehr guter Akkubohrer mit umfangreichen Zubehör. Auch der Koffer ist perfekt für die Aufbewahrung.,de
110,Das ist ein Werkzeug was sich jeder wünscht nur leider sehr teuer aber wer es hat ist nur noch Begeistert.,de
111,"Günstiger Preis und prompte Lieferung, dem nächst wieder...",de
112,Akkuschrauber ist okay aber die Bohrer sind wirklich ein absoluter Witz. Selbst auf Holz nichtmal angesetzt sind sie schon krumm,de
113,Der Akkuschrauber ist sehr kraftvoll und super in der Handhabung,de
114,"Einfach einwandfrei.Ideal für jeden Heimwerker und auch für Profis geeignet.Kraftvoll, handlich und ermüdungsfreies Arbeiten zeichnen den Akkuschlagschrauber aus.Egal ob für die Renovierung, auf der Arbeit oder für Holzarbeiten auf der Terrasse, ich nutze ihn jeden Tag.Er hat nichts von seiner Leistung verloren.Makita ist und bleibt einfach ein absolutes Premium Produkt.Ich habe verschiedene Akkugeräte des Herstellers und alle mit dem 18V System.Daher ist es auch einfach, mal eben den Akku zu tauschen",de
115,Absolut empfehlenswert.Mehr als ausreichend Power.Gewicht voll im RahmenKaufempfehlung!,de
116,"Der Akku-Schlagbohrschrauber ist super, für den günstigen Preis (78,80 am 26.03.2018 direkt über Amazon) erhält man sicherlich ein top Gerät, Makita eben ;-)Angaben, die hier fehlen, die man sich aber schnell zurecht suchen kann, um den Schrauber mit anderen Geräten zu vergleichen:* Leerlaufdrehzahl: 0-600/​0-1900rpm* Bohrleistung: Stahl 13mm, Holz 38mm, Stein 13mm* Leerlaufschlagzahl: 0-9000/​0-28500bpm* Drehmoment: 36/​62Nm weich/​hart, 21 Stufen* Werkzeugaufnahme: 1.5-13mm Schnellspannbohrfutter* Gewicht: 1.50kgWarum nur vier und nicht fünf Sterne?1. Beworben wird ein DH482Z, bei dem das Z für ""ohne Zubehör aber im Karton verpackt"" steht. Eingetroffen ist ein nackter Akku-Schrauber mit einer französischen Anleitung ohne Makita Karton sondern nur im Amazon Karton. Dabei handelt es sich vermutlich um ein Gerät, das ursprünglich in einem Makpac mit Zubehör war, bei dem die Komponenten einzeln verkauft wurden. Wenn man es weiß, dann ist das auch kein Problem.2. Der DHP482 wird nicht von der Makita Werkzeug GmbH Deutschland verkauft, so dass auch keine Garantieverlängerung auf drei Jahre so wie bei anderen Makita Produkten möglich ist. Diese Information kam gerade innerhalb von 4h vom Makita Support nach einer Anfrage über das Online-Formular.Mit beiden negativen Punkten kann ich leben und werde das Gerät sicherlich nicht zurück senden, allerdings sollte man das wissen, bevor man es kauft.Nachtrag: In anderen Bewertungen werden zwei weitere negative Punkte angesprochen:1. Spiel im Bohrfutter - So etwas ist bei dem Gerät, das ich erhalten habe, nicht mit bloßem Auge zu erkennen.2. Keine Schlagbohrfunktion - Ich habe einen DHP482 erhalten, DHP steht bei Makita für Schlagbohrschrauber und bei meinem Gerät funktioniert die Schlagbohrfunktion einwandfrei.",de
117,Perfektes Gerät,de
118,"Meine alte Makita habe ich dreimal von der Arbeitsplatte fallen gelassen und es ist beim dritten Mal kaputt gegangen. Da ich eine auf die schnelle Ersatz brauchte habe sofort an Amazon gedacht, bestellt ohne alle Zubehör und schuppig wupp war es da! Die neue ist handlicher, mehr drehmomente, hat eine LED Ziel lampe und eine Aufhängung. Bin mit der neue total zufrieden.",de
119,"Zu den Bildern:1. Bild = die neue Makita2. Bild = älteres LXT-Gerät3. Bild original Akku Makita 1815 18V/1,5 AhWie auf den Bildern zu sehen ist, steht an dem neuen Gerät ein Metall-Nippel hervor, welcher das Einschieben des Akkus verhindert (s. orange Markierung auf den Bildern!)Die Führungsschiene an dieser Stelle muss bei den Akkus aufgesägt oder geschnitten werden, damit man den Akku auch tatsächlich benutzen kann!Bei dem älteren Gerät (hier eine Reciprosäge) ist genau dieser Nippel nicht vorhanden und auch bei meinen sonstigen 18V Makita-Akku-Geräten der LXT-Serie!Man sollte doch erwarten dürfen, dass die 18V-Akkus derselben Serie auch untereinander auf alle Geräte passen!Durch das öffnen des Akkus an der Führungsschiene wird diese natürlich wesentlich instabiler, so dass zu befürchten steht, dass genau diese Seite vorzeitig brechen wird und den Akku dann unbrauchbar macht!Und dasselbe Problem wird natürlich mit ALLEN Akkus, die man auf diesem Gerät verwenden will, auftreten!!!Weiterhin kann ich keinerlei Unterschied zwischen den Drehzahlen der beiden Gänge feststellen, was aber gerade beim Schrauben oftmals wichtig werden kann, um Schraubenköpfe nicht ""rund zu drehen""!Rechts-/Linkslauf funktionieren, ebenfalls die Hammerfunktion und Drehmoment-Einstellung.Das Gerät ist relativ schwer, liegt aber sehr gut in der Hand. Und auch ansonsten ist der Akkuschrauber sehr stabil und kraftvoll, wie man es von einem Profigerät und besonders von einer Makita erwartet!Wäre die Sache mit dem Akku nicht, würde ich 4 von 5 Sternen vergeben, wegen des Getriebes, das die Drehzahl nicht reduziert, weil ich diese Funktion eher selten benutze und man die Drehzahl auch sehr gut über den Auslöser regulieren kann!Ansonsten ist der Akkuschrauber sehr gut und tut was er soll, liegt gut in der Hand und das Gewicht verleiht einem auch das Gefühl von guter Kontrolle über das Werkzeug.Aber an JEDEM Akku eine Sollbruchstelle ausgerechnet an der Haupt-Führungsschiene hinzufügen zu müssen, geht aus meiner Sicht gar nicht! Die original-Akkus und auch jene aus dem Zubehör sind zu teuer, als dass man sie schon vor der ersten Benutzung beschädigen und destabilisieren will!!!Das hat mich dann doch ziemlich enttäuscht, zumal es seitens Makita meines Wissens keinerlei Mitteilungen gibt, dass in dem Bereich der Akkus etwas geändert wurde und die ""älteren"" Akkus aus derselben Serie nicht ohne weiteres auf neuere Geräte passen ...In wie weit das Problem auch bei Akkus aus dem Zubehör auftreten, kann ich nicht sagen, weil ich immer die originalen Akkus von Makita verwende.Ich hoffe diese Rezension war für euch hilfreich?!MfG",de
120,Die kombination,de
121,Makita wie imma gut,de
122,"Ich hatte mir diese Makita zum ausprobieren Solo dazugekauft.Und benutze sie nur noch! Mega leicht zu halten und präzise zum Holz bearbeiten, im Stahlbeton bohren etc. Sehr starker Motor, aber superleicht zu händeln. Die Beleuchtung ist auch Klasse. Selbst meine 12 jährige Tochter kommt prima unter Aufsicht damit klar.Ganz klare Kaufempfehlung! 5 von 5",de
123,"Was will man noch sagen? Makita! Ich finde die Produkte von Makita einfach Wahnsinn, vor allem wenn man den Preis-Leistung-Check mit anderen namhaften Herstellern macht.Mein Vater benutzt sein Makita Akkuschrauber seit 15 Jahren oder so. Das Teil rennt und rennt und rennt. Daher war meine Wahl auch Makita.Optisch natürlich auch sehr schöne Geräte.Zur Leistung:Wände bohren ohne Probleme mit nem 5.0ah Akku, aber bei Betondecken / Böden reicht die Kraft dann doch nicht aus. Dafür habe ich den großen Bruder von Makita :)Von mir eine klare Kaufempfehlung für Hobby Heimwärker die einen zuverlässigen Akkuschrauber suchen mit der Option schnell mal paar Löcher in die Wand zu bohren.",de
124,"Habe mir dieses Gerät gekauft da ich von Freunden gehört habe das Makita für extreme Heimwerker das non plus ultra ist.Habe jetzt sämtliche Werkzeuge von Makita und kann sagen das es Werkzeuge sind mit denen ein normal sterblicher (habe schon 2 Häuser gebaut und etliche umgebaut) ein Leben lang Freude hat.Früher hatte ich Hitachi,Ryobi ja sogar Hilti.Aber der Wechsel zu diesen Geräten hat sich voll ausgezahlt.Die schlechten Rezessionen kommen denke ich daher das diese Leute keine Ahnung haben.Mit ist kein original für DE oder hat Spiel im Futter kann ich nichts anhaben.Gerät ist vollends in Ordnung auch wenn es aus RO kommt.Wenn wir so denken dürfen wir sich auch keinen Suzuki oder gar Bmw X5 kaufen",de
125,"Hallo, ein Bohrer hat gefehlt Bohrerhalter ist teilweise nicht passend",de
126,Alles gut gerne wieder.,de
127,"Makita, der Name steht für Qualität, ich habe fast meine gesamte Werkstatt auf Makita umgestellt und habe nicht einen Kauf bereut.Auch hier wieder ein ausgezeichnetes Gerät, es liegt wie gewohnt, sehr gut in der Hand und durch das Schlagwerk lassen sich Löcher auch ohne große Anstrengung in Stein und Beton Bohren.",de
128,Immer wieder gerne,de
129,Sehr zufrieden kann ich nur weiterempfehlenLiebe GrüßeFiete,de
130,"Ich bin eigentlich ein totaler Makita Fan und habe super viele Werkzeuge von Makita.Aber dieser Akku Schrauber ist eine Katastrophe. Ich habe ihn 2x bestellt und 2x Probleme gehabt.Bei dem einen ist das Genick gebrochen und bei dem anderen gab es eine kleine Rauchentwicklung.Mehrere 6x100 Schrauben schafft er nicht. Er wird super heiß, fängt an zu qualmen und brennt durch.Von Gewicht ist er eigentlich genau richtig. Er liegt super in der Hand (selbst mit 5AH Akku) und das Schrauben mit dem Gewicht geht problemlos.Ich habe mir nun den DHP481 bestellt. Der wiegt zwar mehr, ist aber deutlich besser.Diese Akku Schrauber sollte aus dem Programm genommen werden.",de
131,"Dies war bereits das zweite Gerät das ich bestellt hatte. Das erste hatte bereits nach 1maligem Gebrauch im Indoor-Bereich sowie 1-monatiger Lagerung im trockenen Werkstattbereich eine komplett verrostete Werkzeugaufnahme und beim Öffnen/Schließen des Bohrfutters gab es immer ein ratschendes Geräusch. An den Spannbacken, die normalerweise aus Edelstahl sind, blätterte die Farbe ab.  Umtausch war seitens Amazon kein Problem, der neue Akku-Bohrschrauber gleich bestellt und schnell geliefert. Beim öffnen der Verpackung dachte ich, ich hätte meine retourniertes Gerät wieder bekommen. Bohrfutter verrostet und an die spannbacken zeigten auch schon wieder abblätternde Farbe. (Sieh Foto). Hab die Maschine jetzt zurückgeschickt und werde kein Gerät mehr von Makita mehr  kaufen - die Materialqualität ist wesentlich schlechter als bei meinem 10 Jahre alten Billigschrauber von Aldi.Schade - Makita stand bei mir immer für gute Qualität zum fairen Preis. Aber das war einmal",de
132,Schöne Maschine mit einem stabilen Alu Koffer mit vie Zubehör,de
