,Review,Language,Translated,Word_Count,Char_Count,Stop-Words,Translated_Lower,Translated_Nopunc,Translated_Nostop,Translated_Noother,Cleaned_Review,Polarity,Subjectivity
10,"Ich hab das Set 3 mal bekommen . Das erste war nach 5 Monaten hinüber, das zweite nach einem Tag und das letzte nach 1Std. Jetzt war es mir zu doof die 3te Maschine auch wieder zurück zu senden, habe deshalb das Teil was defekt war im Internet bestellt und von Amazon eine Gutschrift bekommen. Trotz allem, ist man von Makita besseres Gewohnt. Hab noch eine Akkuflex gekauft mal sehen wie lange diese hält. Info kommt.",de,"I got the set 3 times. The first was broken after 5 months, the second after one day and the last after 1 hour. Now it was too stupid for me to send the third machine back, so I ordered the defective part on the internet and got a credit note from Amazon. Despite everything, I'm used to better from Makita. I bought another Akkuflex and will see how long it lasts. Info coming.",74,,28,"i got the set 3 times. the first was broken after 5 months, the second after one day and the last after 1 hour. now it was too stupid for me to send the third machine back, so i ordered the defective part on the internet and got a credit note from amazon. despite everything, i'm used to better from makita. i bought another akkuflex and will see how long it lasts. info coming.",i got the set 3 times  the first was broken after 5 months  the second after one day and the last after 1 hour  now it was too stupid for me to send the third machine back  so i ordered the defective part on the internet and got a credit note from amazon  despite everything  i m used to better from makita  i bought another akkuflex and will see how long it lasts  info coming ,got set 3 times first broken 5 months second one day last 1 hour stupid send third machine back ordered defective part internet got credit note amazon despite everything used better makita bought another akkuflex see long lasts info coming,got set times first broken months second one day last hour stupid send third machine back ordered defective part internet got credit note amazon despite everything used better makita bought another akkuflex see long lasts info coming,got set time first broken month second one day last hour stupid send third machine back ordered defective part internet got credit note amazon despite everything used better makita bought another akkuflex see long last info coming,-0.049999999999999996,0.27666666666666667
11,"Der Makita-Koffer hält, was er verspricht. Auch wenn der Koffer nicht mehr als ""handlich"" beschrieben werden kann, ist er doch kompakt und robust. Alles hat seinen Platz. Ich hatte bislang ein einfaches, aber grundsolides 14,4V-Markengerät für den Hausgebrauch. Der Unterschied zur 18V Makita mit hohem Drehmoment ist sehr deutlich spürbar. Verarbeitungsqualität und Lieferumfang ist sehr gut. Meine Lieferung war übrigens vollständig und intakt.",de,"The Makita case keeps its promise. Even though the case can no longer be described as ""handy"", it is still compact and robust. Everything has its place. I previously had a simple but rock-solid 14.4V branded tool for home use. The difference to the 18V Makita with high torque is very noticeable. Build quality and scope of delivery is very good. By the way, my delivery was complete and intact.",70,,28,"the makita case keeps its promise. even though the case can no longer be described as ""handy"", it is still compact and robust. everything has its place. i previously had a simple but rock-solid 14.4v branded tool for home use. the difference to the 18v makita with high torque is very noticeable. build quality and scope of delivery is very good. by the way, my delivery was complete and intact.",the makita case keeps its promise  even though the case can no longer be described as  handy   it is still compact and robust  everything has its place  i previously had a simple but rock solid 14 4v branded tool for home use  the difference to the 18v makita with high torque is very noticeable  build quality and scope of delivery is very good  by the way  my delivery was complete and intact ,makita case keeps promise even though case longer described handy still compact robust everything place previously simple rock solid 14 4v branded tool home use difference 18v makita high torque noticeable build quality scope delivery good way delivery complete intact,makita case keeps promise even though case longer described handy still compact robust everything place previously simple rock solid 14 4v branded tool home use difference 18v makita high torque noticeable build quality scope delivery good way delivery complete intact,makita case keep promise even though case longer described handy still compact robust everything place previously simple rock solid 14 4v branded tool home use difference 18v makita high torque noticeable build quality scope delivery good way delivery complete intact,0.26,0.4828571428571429
12,Ich hab den Koffer als Geschenk für meinen Mann bestellt da wir bereits gute Erfahrungen mit Makita gemacht haben. Ich war überzeugt von der Optik und natürlich des guten Inhaltes für den Preis . Der Alukoffer ist super stabil und lässt alles sicher und gut verstaut. Beide Akkus funktionieren einwandfrei und auch die Maschine bis jetzt . Man bekommt hier super Qualität und alles was man als leihe zuhause braucht für den Anfang zum guten Preis.1 Stern Abzug nur weil ich leider nichts über die Lebensdauer berichten kann da wir sie erst seit 2 Monaten besitzen .,de,I ordered the case as a gift for my husband because we already had good experiences with Makita. I was convinced by the look and of course the good content for the price. The aluminium case is super sturdy and keeps everything safe and well stored. Both batteries work perfectly and so does the machine so far. You get here super quality and everything you need as a leihe at home for the beginning at a good price.1 star deduction only because I unfortunately can not report anything about the life as we own it only for 2 months.,99,,47,i ordered the case as a gift for my husband because we already had good experiences with makita. i was convinced by the look and of course the good content for the price. the aluminium case is super sturdy and keeps everything safe and well stored. both batteries work perfectly and so does the machine so far. you get here super quality and everything you need as a leihe at home for the beginning at a good price.1 star deduction only because i unfortunately can not report anything about the life as we own it only for 2 months.,i ordered the case as a gift for my husband because we already had good experiences with makita  i was convinced by the look and of course the good content for the price  the aluminium case is super sturdy and keeps everything safe and well stored  both batteries work perfectly and so does the machine so far  you get here super quality and everything you need as a leihe at home for the beginning at a good price 1 star deduction only because i unfortunately can not report anything about the life as we own it only for 2 months ,ordered case gift husband already good experiences makita convinced look course good content price aluminium case super sturdy keeps everything safe well stored batteries work perfectly machine far get super quality everything need leihe home beginning good price 1 star deduction unfortunately report anything life 2 months,ordered case gift husband already good experiences makita convinced look course good content price aluminium case super sturdy keeps everything safe well stored batteries work perfectly machine far get super quality everything need leihe home beginning good price star deduction unfortunately report anything life months,ordered case gift husband already good experience makita convinced look course good content price aluminium case super sturdy keep everything safe well stored battery work perfectly machine far get super quality everything need leihe home beginning good price star deduction unfortunately report anything life month,0.4296296296296297,0.7370370370370372
13,"Es ist bereits unser 3. Gerät dieser Sorte und wir sind stets begeistert über Qualität, Effektivität und Robustheit der Makitageräte. Nur zu Empfehlen wenn man mit Akkus arbeiten möchte.",de,"It is already our third tool of this type and we are always delighted with the quality, effectiveness and robustness of the Makita tools. Only to be recommended if you want to work with rechargeable batteries.",36,,18,"it is already our third tool of this type and we are always delighted with the quality, effectiveness and robustness of the makita tools. only to be recommended if you want to work with rechargeable batteries.",it is already our third tool of this type and we are always delighted with the quality  effectiveness and robustness of the makita tools  only to be recommended if you want to work with rechargeable batteries ,already third tool type always delighted quality effectiveness robustness makita tools recommended want work rechargeable batteries,already third tool type always delighted quality effectiveness robustness makita tools recommended want work rechargeable batteries,already third tool type always delighted quality effectiveness robustness makita tool recommended want work rechargeable battery,0.35,0.35
14,"Der gekaufte makita Akkuschrauber überzeugt mit tadelloser Qualität. Die Leistung der Maschine ist überragend und die Verarbeitung perfekt. Die Akkus laden sehr schnell und im Ladegerät selbst ist ein Lüfter verbaut, der vor Überhitzung schützt. Das beiliegende Zubehör ist ebenfalls von starker Qualität. Das einzige Manko, das zweimal das selbe Set an Bits im Koffer ist. Hier hätte man den Platz auch mit etwas anderem füllen können. Aber ganz klare Kaufempfehlung",de,The purchased makita cordless screwdriver convinces with impeccable quality. The performance of the machine is outstanding and the workmanship is perfect. The batteries charge very quickly and the charger itself has a fan that protects against overheating. The enclosed accessories are also of strong quality. The only drawback is that the same set of bits is in the case twice. The space could have been filled with something else. But a clear recommendation to buy,75,,31,the purchased makita cordless screwdriver convinces with impeccable quality. the performance of the machine is outstanding and the workmanship is perfect. the batteries charge very quickly and the charger itself has a fan that protects against overheating. the enclosed accessories are also of strong quality. the only drawback is that the same set of bits is in the case twice. the space could have been filled with something else. but a clear recommendation to buy,the purchased makita cordless screwdriver convinces with impeccable quality  the performance of the machine is outstanding and the workmanship is perfect  the batteries charge very quickly and the charger itself has a fan that protects against overheating  the enclosed accessories are also of strong quality  the only drawback is that the same set of bits is in the case twice  the space could have been filled with something else  but a clear recommendation to buy,purchased makita cordless screwdriver convinces impeccable quality performance machine outstanding workmanship perfect batteries charge quickly charger fan protects overheating enclosed accessories also strong quality drawback set bits case twice space could filled something else clear recommendation buy,purchased makita cordless screwdriver convinces impeccable quality performance machine outstanding workmanship perfect batteries charge quickly charger fan protects overheating enclosed accessories also strong quality drawback set bits case twice space could filled something else clear recommendation buy,purchased makita cordless screwdriver convinces impeccable quality performance machine outstanding workmanship perfect battery charge quickly charger fan protects overheating enclosed accessory also strong quality drawback set bit case twice space could filled something else clear recommendation buy,0.5023809523809524,0.7345238095238097
15,Impressive tool.Totally recommendable.BR,en,Impressive tool.Totally recommendable.BR,3,40.0,0,impressive tool.totally recommendable.br,impressive tool totally recommendable br,impressive tool totally recommendable br,impressive tool totally recommendable br,impressive tool totally recommendable br,0.5,0.875
16,Preisleistung passt Makita halt gerne wieder ,de,Price performance fits Makita just gladly again,7,,2,price performance fits makita just gladly again,price performance fits makita just gladly again,price performance fits makita gladly,price performance fits makita gladly,price performance fit makita gladly,0.45,0.7
17,Guter Akkuschrauber der bisher gute Leistung gebracht hat.Toll finde ich das ausreichend Bit dabei sind  zudem nicht Bohrer und Handreher,de,"Good cordless screwdriver that has performed well so far. I think it's great that there are enough bits, not just drill bits and hand drivers.",25,,10,"good cordless screwdriver that has performed well so far. i think it's great that there are enough bits, not just drill bits and hand drivers.",good cordless screwdriver that has performed well so far  i think it s great that there are enough bits  not just drill bits and hand drivers ,good cordless screwdriver performed well far think great enough bits drill bits hand drivers,good cordless screwdriver performed well far think great enough bits drill bits hand drivers,good cordless screwdriver performed well far think great enough bit drill bit hand driver,0.4,0.7125
18,alles ok.,da,Everything's fine.,2,,0,everything's fine.,everything s fine ,everything fine,everything fine,everything fine,0.4166666666666667,0.5
19,Macht was es soll,de,Does what it should,4,,3,does what it should,does what it should,,,,0.0,0.0
20,Alles drin was man für ein Starterkit benötigt. Starke Maschine & umfangreiches Equipment bei top Qualität. Passt alles Makita!,de,Everything you need for a starter kit. Powerful machine & extensive equipment with top quality. Everything fits Makita!,18,,4,everything you need for a starter kit. powerful machine & extensive equipment with top quality. everything fits makita!,everything you need for a starter kit  powerful machine   extensive equipment with top quality  everything fits makita ,everything need starter kit powerful machine extensive equipment top quality everything fits makita,everything need starter kit powerful machine extensive equipment top quality everything fits makita,everything need starter kit powerful machine extensive equipment top quality everything fit makita,0.30000000000000004,0.5583333333333333
21,Ich hatte mich ausgiebig informiert und dieser Verkäufer und das Produkt waren einfach die besten! Bin absolut begeistert und zufrieden und das Geschenk war der Knaller!,de,I had informed myself extensively and this seller and the product were simply the best! I am absolutely thrilled and satisfied and the gift was a hit!,27,,14,i had informed myself extensively and this seller and the product were simply the best! i am absolutely thrilled and satisfied and the gift was a hit!,i had informed myself extensively and this seller and the product were simply the best  i am absolutely thrilled and satisfied and the gift was a hit ,informed extensively seller product simply best absolutely thrilled satisfied gift hit,informed extensively seller product simply best absolutely thrilled satisfied gift hit,informed extensively seller product simply best absolutely thrilled satisfied gift hit,0.525,0.5833333333333333
22,"Ich wollte meinem Vater mal ordentliches Werkzeug schenken. Er hatte immer nur die billigen Versionen.Nun ist er mega stolz und freut sich schon auf die nächsten Feste, in der Hoffnung auf weitere Makita- Teile",de,"I wanted to give my father some proper tools as a present. He only ever had the cheap versions, but now he's so proud and looks forward to the next festivities in the hope of getting more Makita parts.",39,,18,"i wanted to give my father some proper tools as a present. he only ever had the cheap versions, but now he's so proud and looks forward to the next festivities in the hope of getting more makita parts.",i wanted to give my father some proper tools as a present  he only ever had the cheap versions  but now he s so proud and looks forward to the next festivities in the hope of getting more makita parts ,wanted give father proper tools present ever cheap versions proud looks forward next festivities hope getting makita parts,wanted give father proper tools present ever cheap versions proud looks forward next festivities hope getting makita parts,wanted give father proper tool present ever cheap version proud look forward next festivity hope getting makita part,0.24000000000000005,0.36
23,x,en,x,1,1.0,0,x,x,x,x,x,0.0,0.0
24,"Super schnellere lieferung, alles dabei...Perfekt...",de,"Super fast delivery, everything included...Perfect...",5,,0,"super fast delivery, everything included...perfect...",super fast delivery  everything included   perfect   ,super fast delivery everything included perfect,super fast delivery everything included perfect,super fast delivery everything included perfect,0.5111111111111111,0.7555555555555555
25,Zum Schrauben alles was ins Haushalt geht,de,For screwing everything that goes into the household,8,,3,for screwing everything that goes into the household,for screwing everything that goes into the household,screwing everything goes household,screwing everything goes household,screwing everything go household,0.0,0.0
26,"Alles top, immer wieder !",de,"Everything top, again and again !",6,,3,"everything top, again and again !",everything top  again and again  ,everything top,everything top,everything top,0.5,0.5
27,"Artikel wie vom Anbieter beschrieben ohne Akku, ohne Ladegerät. Pünktliche Lieferung. Ich habe diesen Akku-Schlagschrauber als Zweitgerätangeschafft. Für den Preis Top.",de,"Item as described by the supplier without battery, without charger. Delivery on time. I bought this cordless impact wrench as a second tool. Top for the price.",27,,9,"item as described by the supplier without battery, without charger. delivery on time. i bought this cordless impact wrench as a second tool. top for the price.",item as described by the supplier without battery  without charger  delivery on time  i bought this cordless impact wrench as a second tool  top for the price ,item described supplier without battery without charger delivery time bought cordless impact wrench second tool top price,item described supplier without battery without charger delivery time bought cordless impact wrench second tool top price,item described supplier without battery without charger delivery time bought cordless impact wrench second tool top price,0.25,0.25
28,ist super und gut Qualität kann man nicht mehr sagen  Makita was besseres gib es nicht mit so viel Zubehör preis Leistung einfach genial,de,is super and good quality you can not say more Makita what better there is not with so many accessories price performance simply ingenious,24,,12,is super and good quality you can not say more makita what better there is not with so many accessories price performance simply ingenious,is super and good quality you can not say more makita what better there is not with so many accessories price performance simply ingenious,super good quality say makita better many accessories price performance simply ingenious,super good quality say makita better many accessories price performance simply ingenious,super good quality say makita better many accessory price performance simply ingenious,0.5066666666666666,0.6533333333333333
29,"alles dabei was man so schnell braucht, alles gut verstaut, bin total zufrieden und jetzt Makita Fan",de,"Everything you need so quickly, everything well stowed away, I am totally satisfied and now a Makita fan.",18,,6,"everything you need so quickly, everything well stowed away, i am totally satisfied and now a makita fan.",everything you need so quickly  everything well stowed away  i am totally satisfied and now a makita fan ,everything need quickly everything well stowed away totally satisfied makita fan,everything need quickly everything well stowed away totally satisfied makita fan,everything need quickly everything well stowed away totally satisfied makita fan,0.41666666666666663,0.75
30,Muss eine Kleinigkeit bemängeln und zwar die Bohrer waren in dem kompletten Koffer verteilt die musste ich da erstmal raus schütteln und einer war leider verbogen. Aber sonst top bin mit Makita immer zufrieden,de,I have one small complaint and that is that the drills were distributed throughout the case and I had to shake them out and one was unfortunately bent. But otherwise top I am always satisfied with Makita,37,,17,i have one small complaint and that is that the drills were distributed throughout the case and i had to shake them out and one was unfortunately bent. but otherwise top i am always satisfied with makita,i have one small complaint and that is that the drills were distributed throughout the case and i had to shake them out and one was unfortunately bent  but otherwise top i am always satisfied with makita,one small complaint drills distributed throughout case shake one unfortunately bent otherwise top always satisfied makita,one small complaint drills distributed throughout case shake one unfortunately bent otherwise top always satisfied makita,one small complaint drill distributed throughout case shake one unfortunately bent otherwise top always satisfied makita,-0.010000000000000009,0.62
31,"Toller schrauber, praktischer Koffer mit Schublade, meine Empfehlung",de,"Great screwdriver, practical case with drawer, my recommendation",8,,2,"great screwdriver, practical case with drawer, my recommendation",great screwdriver  practical case with drawer  my recommendation,great screwdriver practical case drawer recommendation,great screwdriver practical case drawer recommendation,great screwdriver practical case drawer recommendation,0.8,0.75
32,"Was soll man sagen, einfach nur gut.",de,"What can I say, just good.",6,,2,"what can i say, just good.",what can i say  just good ,say good,say good,say good,0.7,0.6000000000000001
33,Super Preis alles Perfekt gelaufen,de,Super price everything went perfectly,5,,0,super price everything went perfectly,super price everything went perfectly,super price everything went perfectly,super price everything went perfectly,super price everything went perfectly,0.6666666666666666,0.8333333333333333
34,Hab es als Geschenk für meinen Sohn gekauft und er ist begeistert,de,I bought it as a gift for my son and he is thrilled.,13,,8,i bought it as a gift for my son and he is thrilled.,i bought it as a gift for my son and he is thrilled ,bought gift son thrilled,bought gift son thrilled,bought gift son thrilled,0.6,0.7
35,Dankeschön super Artikel,de,Thank you super article,4,,1,thank you super article,thank you super article,thank super article,thank super article,thank super article,0.3333333333333333,0.6666666666666666
36,Die Tatsache das der Lieferant nachweislich nicht sorgfältig im Umgang der Ware war und dadurch ein Fuß abgebrochen ist. Schmälerte meine Begeisterung. Das wiederum wirkt sich nicht auf die Leistung des Gerätes aus. Zum Glück.,de,"The fact that the supplier was demonstrably not careful in handling the goods and that a foot broke off as a result. Diminished my enthusiasm. This, in turn, does not affect the performance of the appliance. Fortunately.",37,,19,"the fact that the supplier was demonstrably not careful in handling the goods and that a foot broke off as a result. diminished my enthusiasm. this, in turn, does not affect the performance of the appliance. fortunately.",the fact that the supplier was demonstrably not careful in handling the goods and that a foot broke off as a result  diminished my enthusiasm  this  in turn  does not affect the performance of the appliance  fortunately ,fact supplier demonstrably careful handling goods foot broke result diminished enthusiasm turn affect performance appliance fortunately,fact supplier demonstrably careful handling goods foot broke result diminished enthusiasm turn affect performance appliance fortunately,fact supplier demonstrably careful handling good foot broke result diminished enthusiasm turn affect performance appliance fortunately,0.3333333333333333,0.7666666666666666
37,Absolut zu empfehlen. Gewohnte Makita Qualität! 1A,de,Absolutely recommended. Usual Makita quality! 1A,6,,0,absolutely recommended. usual makita quality! 1a,absolutely recommended  usual makita quality  1a,absolutely recommended usual makita quality 1a,absolutely recommended usual makita quality 1a,absolutely recommended usual makita quality 1a,-0.024999999999999994,0.575
38,"Man kommt erst bei 13 mm in Beton langsam an die Leistungsgrenze. Ist mein Zweitgerät, um ständigen Werkzeugwechsel zwischen bohren und schrauben zu vermeiden. Koffer mit Bohrer usw.",de,"You only slowly reach the performance limit at 13 mm in concrete. It's my second tool, so I don't have to keep changing tools between drilling and screwing. Case with drill etc.",32,,12,"you only slowly reach the performance limit at 13 mm in concrete. it's my second tool, so i don't have to keep changing tools between drilling and screwing. case with drill etc.",you only slowly reach the performance limit at 13 mm in concrete  it s my second tool  so i don t have to keep changing tools between drilling and screwing  case with drill etc ,slowly reach performance limit 13 mm concrete second tool keep changing tools drilling screwing case drill etc,slowly reach performance limit 13 mm concrete second tool keep changing tools drilling screwing case drill etc,slowly reach performance limit 13 mm concrete second tool keep changing tool drilling screwing case drill etc,-0.05000000000000001,0.2333333333333333
39,Top,en,Top,1,3.0,0,top,top,top,top,top,0.5,0.5
